Country,area (sq km),area (sq mi)
Afghanistan,652870,252073
Albania,28750,11100
Algeria,2381740,919590
American Samoa,200,77
Andorra,470,181
Angola,1246700,481351
Antigua and Barbuda,440,169
Argentina,2780400,1073513
Armenia,29740,11482
Aruba,180,69
Australia,7741220,2988888
Austria,83879,32385
Azerbaijan,86600,33436
"Bahamas, The",13880,5359
Bahrain,800,308
Bangladesh,147570,56976
Barbados,430,166
Belarus,207629,80165
Belgium,30689,11849
Belize,22966,8867
Benin,114760,44308
Bermuda,4290,1656
Bhutan,38390,14822
Bolivia,1098580,424162
Bosnia and Herzegovina,51210,19772
Botswana,581730,224606
Brazil,8510420,3285876
British Virgin Islands,150,57
Brunei Darussalam,5770,2227
Bulgaria,110996.758,42855
Burkina Faso,274200,105868
Burundi,27830,10745
Cabo Verde,4030,1555
Cambodia,181040,69899
Cameroon,475440,183567
Canada,15634410,6036451
Cayman Islands,264,101
Central African Republic,622980,240532
Chad,1284000,495752
Chile,757244.88,292372
China,9562910,3692243
Colombia,1140619.1,440393
Comoros,1861,718
"Congo, Dem. Rep.",2344860,905351
"Congo, Rep.",342000,132046
Costa Rica,51100,19729
Cote d'Ivoire,322460,124501
Croatia,88070,34003
Cuba,109880,42424
Curacao,444,171
Cyprus,9250,3571
Czechia,78871.43,30452
Denmark,42920,16571
Djibouti,23200,8957
Dominica,750,289
Dominican Republic,146839.46,56694
Ecuador,256370,98984
"Egypt, Arab Rep.",1001450,386660
El Salvador,21040,8123
Equatorial Guinea,28050,10830
Eritrea,121765.8,47013
Estonia,45340,17505
Eswatini,17360,6702
Ethiopia,1136239.7,438702
Faroe Islands,12960,5003
Fiji,18270,7054
Finland,338480,130687
France,606410,234135
French Polynesia,3471,1340
Gabon,267670,103347
"Gambia, The",11300,4362
Georgia,69700,26911
Germany,357680,138100
Ghana,238539,92100
Gibraltar,10,3
Greece,131960,50949
Greenland,410450,158474
Grenada,340,131
Guam,540,208
Guatemala,108890,42042
Guinea,245860,94926
Guinea-Bissau,36130,13949
Guyana,214970,83000
Haiti,27750,10714
Honduras,112490,43432
"Hong Kong SAR, China",1110,428
Hungary,93030,35918
Iceland,103000,39768
India,3287260,1269212
Indonesia,1916906.77,740118
"Iran, Islamic Rep.",1745150,673803
Iraq,435050,167972
Ireland,70280,27135
Isle of Man,570,220
Israel,22070,8521
Italy,302070,116629
Jamaica,10990,4243
Japan,377969.27,145934
Jordan,89318,34485
Kazakhstan,2724902,1052085
Kenya,591969,228559
Kiribati,810,312
"Korea, Dem. People's Rep.",120540,46540
"Korea, Rep.",100450,38783
Kuwait,17820,6880
Kyrgyz Republic,199950,77200
Lao PDR,236800,91428
Latvia,64590,24938
Lebanon,10450,4034
Lesotho,30360,11722
Liberia,111370,43000
Libya,1759540,679359
Liechtenstein,160,61
Lithuania,65290,25208
Luxembourg,2590,1000
"Macao SAR, China",33,12
Madagascar,587295,226754
Malawi,118480,45745
Malaysia,330411,127571
Maldives,300,115
Mali,1240190,478837
Malta,320,123
Marshall Islands,180,69
Mauritania,1030700,397953
Mauritius,2010,776
Mexico,1957193.9,755673
"Micronesia, Fed. Sts.",700,270
Moldova,33850,13069
Monaco,74.9,28
Mongolia,1564115.75,603905
Montenegro,13888,5362
Morocco,446550,172413
Mozambique,799380,308640
Myanmar,676590,261231
Namibia,824290,318258
Nauru,20,7
Nepal,147180,56826
Netherlands,41540,16038
New Caledonia,18580,7173
New Zealand,267710,103362
Nicaragua,130370,50335
Niger,1267000,489189
Nigeria,923770,356667
North Macedonia,25710,9926
Northern Mariana Islands,460,177
Norway,624500,241119
Oman,309500,119498
Pakistan,796100,307374
Palau,460,177
Panama,75320,29081
Papua New Guinea,462840,178702
Paraguay,406752,157047
Peru,1285215.6,496222
Philippines,300000,115830
Poland,313930,121208
Portugal,92230,35610
Puerto Rico (US),8870,3424
Qatar,11490,4436
Romania,238400,92046
Russian Federation,17125190,6612042
Rwanda,26338,10169
Samoa,2840,1096
San Marino,60,23
Sao Tome and Principe,960,370
Saudi Arabia,2149690,829996
Senegal,196710,75949
Serbia,84990,32814
Seychelles,460,177
Sierra Leone,72300,27915
Singapore,728,281
Sint Maarten (Dutch part),34,13
Slovak Republic,49030,18930
Slovenia,20480,7907
Solomon Islands,28900,11158
"Somalia, Fed. Rep.",637660,246200
South Africa,1219090,470691
South Sudan,646883,249761
Spain,505975.98,195357
Sri Lanka,65610,25332
St. Kitts and Nevis,260,100
St. Lucia,620,239
St. Martin (French part),50,19
St. Vincent and the Grenadines,390,150
Sudan,1878000,725096
Suriname,163820,63250
Sweden,528660,204115
Switzerland,41290.7,15942
Syrian Arab Republic,185180,71498
Tajikistan,141379,54586
Tanzania,947300,365752
Thailand,513115.021,198113
Timor-Leste,14870,5741
Togo,56790,21926
Tonga,750,289
Trinidad and Tobago,5130,1980
Tunisia,163610,63169
Turkiye,785350,303223
Turkmenistan,491209,189655
Turks and Caicos Islands,950,366
Tuvalu,30,11
Uganda,241550,93262
Ukraine,603550,233030
United Arab Emirates,98647.9,38087
United Kingdom,243610,94057
United States,9831510,3795949
Uruguay,176220,68038
Uzbekistan,448920,173328
Vanuatu,12190,4706
"Venezuela, RB",912050,352142
Viet Nam,331338.31,127929
Virgin Islands (U.S.),350,135
West Bank and Gaza,6025,2326
"Yemen, Rep.",527970,203849
Zambia,752610,290583
Zimbabwe,390760,150872